id,ticker,adjusted,Volume,Wap_volume,Open_price,Close_price,High_price,Low_price,Timestamp,Transactions
196,SPY,True,118024442.0,449.827,450.95,446.6,452.97,445.71,2022-02-03 05:00:00,1106476
197,SPY,True,118436652.0,448.3226,446.35,448.7,452.78,443.83,2022-02-04 05:00:00,1162845
198,SPY,True,84472859.0,448.6198,449.51,447.26,450.99,445.85,2022-02-07 05:00:00,759934
199,SPY,True,80981286.0,449.0816,446.73,450.94,451.92,445.22,2022-02-08 05:00:00,685659
200,SPY,True,92495929.0,455.9303,455.22,457.54,457.88,455.005,2022-02-09 05:00:00,670714
201,SPY,True,140103712.0,452.9121,451.34,449.32,457.71,447.2,2022-02-10 05:00:00,1217132
202,SPY,True,153214597.0,444.1699,449.41,440.46,451.605,438.94,2022-02-11 05:00:00,1467422
203,SPY,True,122934262.0,438.9049,439.92,439.02,441.6,435.34,2022-02-14 05:00:00,1148020
204,SPY,True,88641503.0,444.6794,443.73,446.1,446.28,443.18,2022-02-15 05:00:00,751040
205,SPY,True,84815085.0,444.9697,443.93,446.6,448.055,441.94,2022-02-16 05:00:00,784456
206,SPY,True,102259108.0,439.9789,443.22,437.06,446.5652,436.42,2022-02-17 05:00:00,850969
207,SPY,True,132502896.0,435.2278,437.33,434.23,438.66,431.82,2022-02-18 05:00:00,1137286
208,SPY,True,124379870.0,430.707,431.89,429.57,435.5,425.86,2022-02-22 05:00:00,1213511
209,SPY,True,132374005.0,425.9146,432.66,421.95,433.26,421.35,2022-02-23 05:00:00,1166037
210,SPY,True,213923446.0,419.7499,411.02,428.3,428.76,410.64,2022-02-24 05:00:00,2316981
211,SPY,True,121785659.0,434.3466,429.61,437.75,437.84,427.86,2022-02-25 05:00:00,1141900
212,SPY,True,145594529.0,434.5719,432.03,436.63,438.2,430.7,2022-02-28 05:00:00,1305973
213,SPY,True,137720158.0,431.6669,435.04,429.98,437.17,427.11,2022-03-01 05:00:00,1422063
214,SPY,True,117711825.0,436.2299,432.37,437.89,439.72,431.57,2022-03-02 05:00:00,1252755
215,SPY,True,105501715.0,436.9085,440.47,435.71,441.11,433.8,2022-03-03 05:00:00,1039161
216,SPY,True,114083256.0,430.9209,431.75,432.17,433.37,427.88,2022-03-04 05:00:00,1085108
217,SPY,True,137811760.0,423.9601,431.55,419.43,432.3018,419.36,2022-03-07 05:00:00,1448619
218,SPY,True,164739744.0,419.763,419.62,416.25,427.21,415.12,2022-03-08 05:00:00,1950899
219,SPY,True,116832265.0,426.181,425.14,427.41,429.51,422.82,2022-03-09 05:00:00,1133569
220,SPY,True,93972655.0,423.8766,422.52,425.48,426.43,420.44,2022-03-10 05:00:00,917457
221,SPY,True,95360277.0,423.9476,428.12,420.07,428.77,419.53,2022-03-11 05:00:00,837760
222,SPY,True,95729188.0,419.1776,420.89,417.0,424.55,415.79,2022-03-14 04:00:00,897065
223,SPY,True,106134117.0,422.761,419.77,426.17,426.84,418.42,2022-03-15 04:00:00,949202
224,SPY,True,144704805.0,431.3891,429.89,435.62,435.68,424.8,2022-03-16 04:00:00,1405236
225,SPY,True,102651870.0,437.6986,433.59,441.07,441.07,433.19,2022-03-17 04:00:00,812423
226,SPY,True,106332044.0,441.5188,438.0,444.52,444.86,437.22,2022-03-18 04:00:00,814468
227,SPY,True,88249756.0,443.8006,444.34,444.39,446.46,440.68,2022-03-21 04:00:00,937033
228,SPY,True,74280394.0,448.5657,445.86,449.59,450.58,445.86,2022-03-22 04:00:00,637073
229,SPY,True,79367033.0,446.0537,446.91,443.8,448.49,443.71,2022-03-23 04:00:00,641633
230,SPY,True,64736892.0,447.7172,445.94,450.49,450.5,444.76,2022-03-24 04:00:00,538727
231,SPY,True,76738724.0,451.0456,451.16,452.69,452.98,448.43,2022-03-25 04:00:00,662816
232,SPY,True,68289867.0,453.2845,452.06,455.91,455.91,450.06,2022-03-28 04:00:00,624220
233,SPY,True,86556542.0,459.637,460.02,461.55,462.07,457.18,2022-03-29 04:00:00,738517
234,SPY,True,79155242.0,459.1689,460.34,458.7,461.195,456.465,2022-03-30 04:00:00,659195
235,SPY,True,121083948.0,455.3757,457.89,451.64,458.76,451.16,2022-03-31 04:00:00,755684
236,SPY,True,88973773.0,451.8507,453.31,452.92,453.46,449.14,2022-04-01 04:00:00,627039
237,SPY,True,59504500.0,455.311,453.13,456.8,456.91,452.26,2022-04-04 04:00:00,504721
238,SPY,True,74213133.0,453.4101,455.22,451.03,457.83,449.82,2022-04-05 04:00:00,646030
239,SPY,True,106844970.0,446.3477,446.89,446.52,448.93,443.47,2022-04-06 04:00:00,903937
240,SPY,True,78097214.0,447.1117,445.59,448.77,450.69,443.53,2022-04-07 04:00:00,632862
241,SPY,True,79205711.0,448.2497,447.97,447.57,450.63,445.94,2022-04-08 04:00:00,574887
242,SPY,True,89770538.0,442.2088,444.11,439.92,445.0,439.39,2022-04-11 04:00:00,781085
243,SPY,True,84363635.0,440.8142,443.08,438.29,445.75,436.6501,2022-04-12 04:00:00,696834
244,SPY,True,73950154.0,441.2623,438.03,443.31,444.11,437.84,2022-04-13 04:00:00,567443
245,SPY,True,97869451.0,440.2705,443.55,437.79,444.7301,437.68,2022-04-14 04:00:00,705563
246,SPY,True,64950498.0,437.8417,436.81,437.97,439.75,435.61,2022-04-18 04:00:00,575881
247,SPY,True,77784013.0,443.0733,437.86,445.04,445.8,437.68,2022-04-19 04:00:00,599070
248,SPY,True,65210049.0,445.6116,446.92,444.71,447.57,443.48,2022-04-20 04:00:00,595910
249,SPY,True,85417327.0,442.7637,448.54,438.06,450.01,437.1,2022-04-21 04:00:00,722878
250,SPY,True,132371772.0,429.8197,436.91,426.04,438.0825,425.44,2022-04-22 04:00:00,974880
251,SPY,True,119636648.0,423.9628,423.67,428.51,428.69,418.84,2022-04-25 04:00:00,1146068
252,SPY,True,103996312.0,420.0383,425.83,416.1,426.04,416.07,2022-04-26 04:00:00,1007658
253,SPY,True,121980990.0,418.8355,417.24,417.27,422.92,415.01,2022-04-27 04:00:00,1010488
254,SPY,True,105375338.0,424.0568,422.29,427.81,429.64,417.6,2022-04-28 04:00:00,807518
255,SPY,True,145311088.0,416.8611,423.59,412.0,425.87,411.21,2022-04-29 04:00:00,1148898
256,SPY,True,158312526.0,411.153,412.07,414.48,415.92,405.02,2022-05-02 04:00:00,1466164
257,SPY,True,100013490.0,416.1059,415.01,416.38,418.93,413.36,2022-05-03 04:00:00,854781
258,SPY,True,144247895.0,421.2666,417.08,429.06,429.66,413.7099,2022-05-04 04:00:00,1465732
259,SPY,True,172929106.0,415.4351,424.55,413.81,425.0,409.44,2022-05-05 04:00:00,1586336
